,filename,label
50,E:\data-version-control\data\raw\train\n03445777\n03445777_10304.JPEG,golf ball
51,E:\data-version-control\data\raw\train\n03445777\n03445777_1036.JPEG,golf ball
52,E:\data-version-control\data\raw\train\n03445777\n03445777_10376.JPEG,golf ball
53,E:\data-version-control\data\raw\train\n03445777\n03445777_10413.JPEG,golf ball
54,E:\data-version-control\data\raw\train\n03445777\n03445777_10419.JPEG,golf ball
55,E:\data-version-control\data\raw\train\n03445777\n03445777_10425.JPEG,golf ball
56,E:\data-version-control\data\raw\train\n03445777\n03445777_10445.JPEG,golf ball
57,E:\data-version-control\data\raw\train\n03445777\n03445777_10455.JPEG,golf ball
58,E:\data-version-control\data\raw\train\n03445777\n03445777_10499.JPEG,golf ball
59,E:\data-version-control\data\raw\train\n03445777\n03445777_10514.JPEG,golf ball
60,E:\data-version-control\data\raw\train\n03445777\n03445777_10515.JPEG,golf ball
61,E:\data-version-control\data\raw\train\n03445777\n03445777_10523.JPEG,golf ball
62,E:\data-version-control\data\raw\train\n03445777\n03445777_10537.JPEG,golf ball
63,E:\data-version-control\data\raw\train\n03445777\n03445777_10547.JPEG,golf ball
64,E:\data-version-control\data\raw\train\n03445777\n03445777_10556.JPEG,golf ball
65,E:\data-version-control\data\raw\train\n03445777\n03445777_1057.JPEG,golf ball
66,E:\data-version-control\data\raw\train\n03445777\n03445777_10574.JPEG,golf ball
67,E:\data-version-control\data\raw\train\n03445777\n03445777_10583.JPEG,golf ball
68,E:\data-version-control\data\raw\train\n03445777\n03445777_10587.JPEG,golf ball
69,E:\data-version-control\data\raw\train\n03445777\n03445777_10615.JPEG,golf ball
70,E:\data-version-control\data\raw\train\n03445777\n03445777_10616.JPEG,golf ball
71,E:\data-version-control\data\raw\train\n03445777\n03445777_10633.JPEG,golf ball
72,E:\data-version-control\data\raw\train\n03445777\n03445777_10655.JPEG,golf ball
73,E:\data-version-control\data\raw\train\n03445777\n03445777_10657.JPEG,golf ball
74,E:\data-version-control\data\raw\train\n03445777\n03445777_1067.JPEG,golf ball
75,E:\data-version-control\data\raw\train\n03445777\n03445777_10676.JPEG,golf ball
76,E:\data-version-control\data\raw\train\n03445777\n03445777_10678.JPEG,golf ball
77,E:\data-version-control\data\raw\train\n03445777\n03445777_10689.JPEG,golf ball
78,E:\data-version-control\data\raw\train\n03445777\n03445777_10693.JPEG,golf ball
79,E:\data-version-control\data\raw\train\n03445777\n03445777_10698.JPEG,golf ball
80,E:\data-version-control\data\raw\train\n03445777\n03445777_10719.JPEG,golf ball
81,E:\data-version-control\data\raw\train\n03445777\n03445777_10723.JPEG,golf ball
82,E:\data-version-control\data\raw\train\n03445777\n03445777_10743.JPEG,golf ball
83,E:\data-version-control\data\raw\train\n03445777\n03445777_10759.JPEG,golf ball
84,E:\data-version-control\data\raw\train\n03445777\n03445777_10786.JPEG,golf ball
85,E:\data-version-control\data\raw\train\n03445777\n03445777_10788.JPEG,golf ball
86,E:\data-version-control\data\raw\train\n03445777\n03445777_1086.JPEG,golf ball
87,E:\data-version-control\data\raw\train\n03445777\n03445777_1107.JPEG,golf ball
88,E:\data-version-control\data\raw\train\n03445777\n03445777_11089.JPEG,golf ball
89,E:\data-version-control\data\raw\train\n03445777\n03445777_11144.JPEG,golf ball
90,E:\data-version-control\data\raw\train\n03445777\n03445777_11236.JPEG,golf ball
91,E:\data-version-control\data\raw\train\n03445777\n03445777_11296.JPEG,golf ball
92,E:\data-version-control\data\raw\train\n03445777\n03445777_11347.JPEG,golf ball
93,E:\data-version-control\data\raw\train\n03445777\n03445777_11389.JPEG,golf ball
94,E:\data-version-control\data\raw\train\n03445777\n03445777_11409.JPEG,golf ball
95,E:\data-version-control\data\raw\train\n03445777\n03445777_11483.JPEG,golf ball
96,E:\data-version-control\data\raw\train\n03445777\n03445777_1159.JPEG,golf ball
97,E:\data-version-control\data\raw\train\n03445777\n03445777_11635.JPEG,golf ball
98,E:\data-version-control\data\raw\train\n03445777\n03445777_11643.JPEG,golf ball
99,E:\data-version-control\data\raw\train\n03445777\n03445777_1169.JPEG,golf ball
100,E:\data-version-control\data\raw\train\n03445777\n03445777_11789.JPEG,golf ball
101,E:\data-version-control\data\raw\train\n03445777\n03445777_11967.JPEG,golf ball
102,E:\data-version-control\data\raw\train\n03445777\n03445777_11973.JPEG,golf ball
103,E:\data-version-control\data\raw\train\n03445777\n03445777_12013.JPEG,golf ball
104,E:\data-version-control\data\raw\train\n03445777\n03445777_1203.JPEG,golf ball
105,E:\data-version-control\data\raw\train\n03445777\n03445777_12069.JPEG,golf ball
106,E:\data-version-control\data\raw\train\n03445777\n03445777_12117.JPEG,golf ball
107,E:\data-version-control\data\raw\train\n03445777\n03445777_12143.JPEG,golf ball
108,E:\data-version-control\data\raw\train\n03445777\n03445777_1217.JPEG,golf ball
109,E:\data-version-control\data\raw\train\n03445777\n03445777_12197.JPEG,golf ball
110,E:\data-version-control\data\raw\train\n03445777\n03445777_12303.JPEG,golf ball
111,E:\data-version-control\data\raw\train\n03445777\n03445777_12325.JPEG,golf ball
112,E:\data-version-control\data\raw\train\n03445777\n03445777_12463.JPEG,golf ball
113,E:\data-version-control\data\raw\train\n03445777\n03445777_12489.JPEG,golf ball
114,E:\data-version-control\data\raw\train\n03445777\n03445777_12505.JPEG,golf ball
115,E:\data-version-control\data\raw\train\n03445777\n03445777_1256.JPEG,golf ball
116,E:\data-version-control\data\raw\train\n03445777\n03445777_12689.JPEG,golf ball
117,E:\data-version-control\data\raw\train\n03445777\n03445777_127.JPEG,golf ball
118,E:\data-version-control\data\raw\train\n03445777\n03445777_12724.JPEG,golf ball
119,E:\data-version-control\data\raw\train\n03445777\n03445777_12744.JPEG,golf ball
120,E:\data-version-control\data\raw\train\n03445777\n03445777_1275.JPEG,golf ball
121,E:\data-version-control\data\raw\train\n03445777\n03445777_12789.JPEG,golf ball
122,E:\data-version-control\data\raw\train\n03445777\n03445777_12796.JPEG,golf ball
123,E:\data-version-control\data\raw\train\n03445777\n03445777_1289.JPEG,golf ball
124,E:\data-version-control\data\raw\train\n03445777\n03445777_129.JPEG,golf ball
125,E:\data-version-control\data\raw\train\n03445777\n03445777_12947.JPEG,golf ball
126,E:\data-version-control\data\raw\train\n03445777\n03445777_1297.JPEG,golf ball
127,E:\data-version-control\data\raw\train\n03445777\n03445777_13067.JPEG,golf ball
128,E:\data-version-control\data\raw\train\n03445777\n03445777_13093.JPEG,golf ball
129,E:\data-version-control\data\raw\train\n03445777\n03445777_13099.JPEG,golf ball
130,E:\data-version-control\data\raw\train\n03445777\n03445777_13144.JPEG,golf ball
131,E:\data-version-control\data\raw\train\n03445777\n03445777_13186.JPEG,golf ball
132,E:\data-version-control\data\raw\train\n03445777\n03445777_13257.JPEG,golf ball
133,E:\data-version-control\data\raw\train\n03445777\n03445777_13307.JPEG,golf ball
134,E:\data-version-control\data\raw\train\n03445777\n03445777_1334.JPEG,golf ball
135,E:\data-version-control\data\raw\train\n03445777\n03445777_13366.JPEG,golf ball
136,E:\data-version-control\data\raw\train\n03445777\n03445777_1338.JPEG,golf ball
137,E:\data-version-control\data\raw\train\n03445777\n03445777_13414.JPEG,golf ball
138,E:\data-version-control\data\raw\train\n03445777\n03445777_1344.JPEG,golf ball
139,E:\data-version-control\data\raw\train\n03445777\n03445777_13455.JPEG,golf ball
140,E:\data-version-control\data\raw\train\n03445777\n03445777_13457.JPEG,golf ball
141,E:\data-version-control\data\raw\train\n03445777\n03445777_13538.JPEG,golf ball
142,E:\data-version-control\data\raw\train\n03445777\n03445777_13567.JPEG,golf ball
143,E:\data-version-control\data\raw\train\n03445777\n03445777_13575.JPEG,golf ball
144,E:\data-version-control\data\raw\train\n03445777\n03445777_13576.JPEG,golf ball
145,E:\data-version-control\data\raw\train\n03445777\n03445777_13579.JPEG,golf ball
146,E:\data-version-control\data\raw\train\n03445777\n03445777_136.JPEG,golf ball
147,E:\data-version-control\data\raw\train\n03445777\n03445777_13736.JPEG,golf ball
148,E:\data-version-control\data\raw\train\n03445777\n03445777_13748.JPEG,golf ball
149,E:\data-version-control\data\raw\train\n03445777\n03445777_13759.JPEG,golf ball
150,E:\data-version-control\data\raw\train\n03445777\n03445777_13783.JPEG,golf ball
151,E:\data-version-control\data\raw\train\n03445777\n03445777_138.JPEG,golf ball
152,E:\data-version-control\data\raw\train\n03445777\n03445777_1386.JPEG,golf ball
153,E:\data-version-control\data\raw\train\n03445777\n03445777_13867.JPEG,golf ball
154,E:\data-version-control\data\raw\train\n03445777\n03445777_13874.JPEG,golf ball
155,E:\data-version-control\data\raw\train\n03445777\n03445777_1389.JPEG,golf ball
156,E:\data-version-control\data\raw\train\n03445777\n03445777_13898.JPEG,golf ball
157,E:\data-version-control\data\raw\train\n03445777\n03445777_13918.JPEG,golf ball
158,E:\data-version-control\data\raw\train\n03445777\n03445777_13924.JPEG,golf ball
159,E:\data-version-control\data\raw\train\n03445777\n03445777_1403.JPEG,golf ball
160,E:\data-version-control\data\raw\train\n03445777\n03445777_14165.JPEG,golf ball
161,E:\data-version-control\data\raw\train\n03445777\n03445777_1419.JPEG,golf ball
162,E:\data-version-control\data\raw\train\n03445777\n03445777_14237.JPEG,golf ball
163,E:\data-version-control\data\raw\train\n03445777\n03445777_14243.JPEG,golf ball
164,E:\data-version-control\data\raw\train\n03445777\n03445777_14278.JPEG,golf ball
165,E:\data-version-control\data\raw\train\n03445777\n03445777_143.JPEG,golf ball
166,E:\data-version-control\data\raw\train\n03445777\n03445777_14335.JPEG,golf ball
167,E:\data-version-control\data\raw\train\n03445777\n03445777_14399.JPEG,golf ball
168,E:\data-version-control\data\raw\train\n03445777\n03445777_14457.JPEG,golf ball
169,E:\data-version-control\data\raw\train\n03445777\n03445777_14458.JPEG,golf ball
170,E:\data-version-control\data\raw\train\n03445777\n03445777_14496.JPEG,golf ball
171,E:\data-version-control\data\raw\train\n03445777\n03445777_14533.JPEG,golf ball
172,E:\data-version-control\data\raw\train\n03445777\n03445777_14568.JPEG,golf ball
173,E:\data-version-control\data\raw\train\n03445777\n03445777_14638.JPEG,golf ball
174,E:\data-version-control\data\raw\train\n03445777\n03445777_1468.JPEG,golf ball
175,E:\data-version-control\data\raw\train\n03445777\n03445777_14689.JPEG,golf ball
176,E:\data-version-control\data\raw\train\n03445777\n03445777_147.JPEG,golf ball
177,E:\data-version-control\data\raw\train\n03445777\n03445777_14706.JPEG,golf ball
178,E:\data-version-control\data\raw\train\n03445777\n03445777_1475.JPEG,golf ball
179,E:\data-version-control\data\raw\train\n03445777\n03445777_14789.JPEG,golf ball
180,E:\data-version-control\data\raw\train\n03445777\n03445777_14816.JPEG,golf ball
181,E:\data-version-control\data\raw\train\n03445777\n03445777_14849.JPEG,golf ball
182,E:\data-version-control\data\raw\train\n03445777\n03445777_14859.JPEG,golf ball
183,E:\data-version-control\data\raw\train\n03445777\n03445777_14879.JPEG,golf ball
184,E:\data-version-control\data\raw\train\n03445777\n03445777_14914.JPEG,golf ball
185,E:\data-version-control\data\raw\train\n03445777\n03445777_15017.JPEG,golf ball
186,E:\data-version-control\data\raw\train\n03445777\n03445777_15019.JPEG,golf ball
187,E:\data-version-control\data\raw\train\n03445777\n03445777_15064.JPEG,golf ball
188,E:\data-version-control\data\raw\train\n03445777\n03445777_15113.JPEG,golf ball
189,E:\data-version-control\data\raw\train\n03445777\n03445777_15126.JPEG,golf ball
190,E:\data-version-control\data\raw\train\n03445777\n03445777_15176.JPEG,golf ball
191,E:\data-version-control\data\raw\train\n03445777\n03445777_15187.JPEG,golf ball
192,E:\data-version-control\data\raw\train\n03445777\n03445777_15188.JPEG,golf ball
193,E:\data-version-control\data\raw\train\n03445777\n03445777_1519.JPEG,golf ball
194,E:\data-version-control\data\raw\train\n03445777\n03445777_15276.JPEG,golf ball
195,E:\data-version-control\data\raw\train\n03445777\n03445777_15294.JPEG,golf ball
196,E:\data-version-control\data\raw\train\n03445777\n03445777_153.JPEG,golf ball
197,E:\data-version-control\data\raw\train\n03445777\n03445777_15367.JPEG,golf ball
198,E:\data-version-control\data\raw\train\n03445777\n03445777_15388.JPEG,golf ball
199,E:\data-version-control\data\raw\train\n03445777\n03445777_15469.JPEG,golf ball
200,E:\data-version-control\data\raw\train\n03445777\n03445777_1547.JPEG,golf ball
201,E:\data-version-control\data\raw\train\n03445777\n03445777_15485.JPEG,golf ball
202,E:\data-version-control\data\raw\train\n03445777\n03445777_15568.JPEG,golf ball
203,E:\data-version-control\data\raw\train\n03445777\n03445777_15656.JPEG,golf ball
204,E:\data-version-control\data\raw\train\n03445777\n03445777_15688.JPEG,golf ball
205,E:\data-version-control\data\raw\train\n03445777\n03445777_15747.JPEG,golf ball
206,E:\data-version-control\data\raw\train\n03445777\n03445777_15776.JPEG,golf ball
207,E:\data-version-control\data\raw\train\n03445777\n03445777_15777.JPEG,golf ball
208,E:\data-version-control\data\raw\train\n03445777\n03445777_15779.JPEG,golf ball
209,E:\data-version-control\data\raw\train\n03445777\n03445777_15787.JPEG,golf ball
210,E:\data-version-control\data\raw\train\n03445777\n03445777_15875.JPEG,golf ball
211,E:\data-version-control\data\raw\train\n03445777\n03445777_15958.JPEG,golf ball
212,E:\data-version-control\data\raw\train\n03445777\n03445777_15963.JPEG,golf ball
213,E:\data-version-control\data\raw\train\n03445777\n03445777_16036.JPEG,golf ball
214,E:\data-version-control\data\raw\train\n03445777\n03445777_16067.JPEG,golf ball
215,E:\data-version-control\data\raw\train\n03445777\n03445777_16078.JPEG,golf ball
216,E:\data-version-control\data\raw\train\n03445777\n03445777_16083.JPEG,golf ball
217,E:\data-version-control\data\raw\train\n03445777\n03445777_16143.JPEG,golf ball
218,E:\data-version-control\data\raw\train\n03445777\n03445777_1616.JPEG,golf ball
219,E:\data-version-control\data\raw\train\n03445777\n03445777_16166.JPEG,golf ball
220,E:\data-version-control\data\raw\train\n03445777\n03445777_16186.JPEG,golf ball
221,E:\data-version-control\data\raw\train\n03445777\n03445777_16189.JPEG,golf ball
222,E:\data-version-control\data\raw\train\n03445777\n03445777_16203.JPEG,golf ball
223,E:\data-version-control\data\raw\train\n03445777\n03445777_16228.JPEG,golf ball
224,E:\data-version-control\data\raw\train\n03445777\n03445777_16256.JPEG,golf ball
225,E:\data-version-control\data\raw\train\n03445777\n03445777_16258.JPEG,golf ball
226,E:\data-version-control\data\raw\train\n03445777\n03445777_16294.JPEG,golf ball
227,E:\data-version-control\data\raw\train\n03445777\n03445777_16309.JPEG,golf ball
228,E:\data-version-control\data\raw\train\n03445777\n03445777_16379.JPEG,golf ball
229,E:\data-version-control\data\raw\train\n03445777\n03445777_16399.JPEG,golf ball
230,E:\data-version-control\data\raw\train\n03445777\n03445777_16413.JPEG,golf ball
231,E:\data-version-control\data\raw\train\n03445777\n03445777_16434.JPEG,golf ball
232,E:\data-version-control\data\raw\train\n03445777\n03445777_16559.JPEG,golf ball
233,E:\data-version-control\data\raw\train\n03445777\n03445777_1668.JPEG,golf ball
234,E:\data-version-control\data\raw\train\n03445777\n03445777_16733.JPEG,golf ball
235,E:\data-version-control\data\raw\train\n03445777\n03445777_1686.JPEG,golf ball
236,E:\data-version-control\data\raw\train\n03445777\n03445777_1689.JPEG,golf ball
237,E:\data-version-control\data\raw\train\n03445777\n03445777_16895.JPEG,golf ball
238,E:\data-version-control\data\raw\train\n03445777\n03445777_1697.JPEG,golf ball
239,E:\data-version-control\data\raw\train\n03445777\n03445777_1698.JPEG,golf ball
240,E:\data-version-control\data\raw\train\n03445777\n03445777_17104.JPEG,golf ball
241,E:\data-version-control\data\raw\train\n03445777\n03445777_17157.JPEG,golf ball
242,E:\data-version-control\data\raw\train\n03445777\n03445777_1717.JPEG,golf ball
243,E:\data-version-control\data\raw\train\n03445777\n03445777_17246.JPEG,golf ball
244,E:\data-version-control\data\raw\train\n03445777\n03445777_17276.JPEG,golf ball
245,E:\data-version-control\data\raw\train\n03445777\n03445777_17293.JPEG,golf ball
246,E:\data-version-control\data\raw\train\n03445777\n03445777_1737.JPEG,golf ball
247,E:\data-version-control\data\raw\train\n03445777\n03445777_17445.JPEG,golf ball
248,E:\data-version-control\data\raw\train\n03445777\n03445777_1746.JPEG,golf ball
249,E:\data-version-control\data\raw\train\n03445777\n03445777_17477.JPEG,golf ball
250,E:\data-version-control\data\raw\train\n03445777\n03445777_17564.JPEG,golf ball
251,E:\data-version-control\data\raw\train\n03445777\n03445777_17703.JPEG,golf ball
252,E:\data-version-control\data\raw\train\n03445777\n03445777_17789.JPEG,golf ball
253,E:\data-version-control\data\raw\train\n03445777\n03445777_17813.JPEG,golf ball
254,E:\data-version-control\data\raw\train\n03445777\n03445777_17833.JPEG,golf ball
255,E:\data-version-control\data\raw\train\n03445777\n03445777_18007.JPEG,golf ball
256,E:\data-version-control\data\raw\train\n03445777\n03445777_1804.JPEG,golf ball
257,E:\data-version-control\data\raw\train\n03445777\n03445777_18067.JPEG,golf ball
258,E:\data-version-control\data\raw\train\n03445777\n03445777_18068.JPEG,golf ball
259,E:\data-version-control\data\raw\train\n03445777\n03445777_1809.JPEG,golf ball
260,E:\data-version-control\data\raw\train\n03445777\n03445777_18147.JPEG,golf ball
261,E:\data-version-control\data\raw\train\n03445777\n03445777_1817.JPEG,golf ball
262,E:\data-version-control\data\raw\train\n03445777\n03445777_18234.JPEG,golf ball
263,E:\data-version-control\data\raw\train\n03445777\n03445777_1838.JPEG,golf ball
264,E:\data-version-control\data\raw\train\n03445777\n03445777_18388.JPEG,golf ball
265,E:\data-version-control\data\raw\train\n03445777\n03445777_18428.JPEG,golf ball
266,E:\data-version-control\data\raw\train\n03445777\n03445777_1848.JPEG,golf ball
267,E:\data-version-control\data\raw\train\n03445777\n03445777_1855.JPEG,golf ball
268,E:\data-version-control\data\raw\train\n03445777\n03445777_18603.JPEG,golf ball
269,E:\data-version-control\data\raw\train\n03445777\n03445777_18613.JPEG,golf ball
270,E:\data-version-control\data\raw\train\n03445777\n03445777_18643.JPEG,golf ball
271,E:\data-version-control\data\raw\train\n03445777\n03445777_1866.JPEG,golf ball
272,E:\data-version-control\data\raw\train\n03445777\n03445777_18705.JPEG,golf ball
273,E:\data-version-control\data\raw\train\n03445777\n03445777_18756.JPEG,golf ball
274,E:\data-version-control\data\raw\train\n03445777\n03445777_1879.JPEG,golf ball
275,E:\data-version-control\data\raw\train\n03445777\n03445777_18804.JPEG,golf ball
276,E:\data-version-control\data\raw\train\n03445777\n03445777_189.JPEG,golf ball
277,E:\data-version-control\data\raw\train\n03445777\n03445777_18958.JPEG,golf ball
278,E:\data-version-control\data\raw\train\n03445777\n03445777_1908.JPEG,golf ball
279,E:\data-version-control\data\raw\train\n03445777\n03445777_19159.JPEG,golf ball
280,E:\data-version-control\data\raw\train\n03445777\n03445777_1928.JPEG,golf ball
281,E:\data-version-control\data\raw\train\n03445777\n03445777_193.JPEG,golf ball
282,E:\data-version-control\data\raw\train\n03445777\n03445777_19515.JPEG,golf ball
283,E:\data-version-control\data\raw\train\n03445777\n03445777_1953.JPEG,golf ball
284,E:\data-version-control\data\raw\train\n03445777\n03445777_19586.JPEG,golf ball
285,E:\data-version-control\data\raw\train\n03445777\n03445777_1969.JPEG,golf ball
286,E:\data-version-control\data\raw\train\n03445777\n03445777_1976.JPEG,golf ball
287,E:\data-version-control\data\raw\train\n03445777\n03445777_19765.JPEG,golf ball
288,E:\data-version-control\data\raw\train\n03445777\n03445777_19807.JPEG,golf ball
289,E:\data-version-control\data\raw\train\n03445777\n03445777_19809.JPEG,golf ball
290,E:\data-version-control\data\raw\train\n03445777\n03445777_1983.JPEG,golf ball
291,E:\data-version-control\data\raw\train\n03445777\n03445777_1986.JPEG,golf ball
292,E:\data-version-control\data\raw\train\n03445777\n03445777_1988.JPEG,golf ball
293,E:\data-version-control\data\raw\train\n03445777\n03445777_19926.JPEG,golf ball
294,E:\data-version-control\data\raw\train\n03445777\n03445777_1993.JPEG,golf ball
295,E:\data-version-control\data\raw\train\n03445777\n03445777_19933.JPEG,golf ball
296,E:\data-version-control\data\raw\train\n03445777\n03445777_2017.JPEG,golf ball
297,E:\data-version-control\data\raw\train\n03445777\n03445777_2019.JPEG,golf ball
298,E:\data-version-control\data\raw\train\n03445777\n03445777_20239.JPEG,golf ball
299,E:\data-version-control\data\raw\train\n03445777\n03445777_20319.JPEG,golf ball
300,E:\data-version-control\data\raw\train\n03445777\n03445777_2035.JPEG,golf ball
301,E:\data-version-control\data\raw\train\n03445777\n03445777_2038.JPEG,golf ball
302,E:\data-version-control\data\raw\train\n03445777\n03445777_2039.JPEG,golf ball
303,E:\data-version-control\data\raw\train\n03445777\n03445777_2043.JPEG,golf ball
304,E:\data-version-control\data\raw\train\n03445777\n03445777_20454.JPEG,golf ball
305,E:\data-version-control\data\raw\train\n03445777\n03445777_2055.JPEG,golf ball
306,E:\data-version-control\data\raw\train\n03445777\n03445777_2059.JPEG,golf ball
307,E:\data-version-control\data\raw\train\n03445777\n03445777_20618.JPEG,golf ball
308,E:\data-version-control\data\raw\train\n03445777\n03445777_20707.JPEG,golf ball
309,E:\data-version-control\data\raw\train\n03445777\n03445777_20724.JPEG,golf ball
310,E:\data-version-control\data\raw\train\n03445777\n03445777_20726.JPEG,golf ball
311,E:\data-version-control\data\raw\train\n03445777\n03445777_2077.JPEG,golf ball
312,E:\data-version-control\data\raw\train\n03445777\n03445777_20777.JPEG,golf ball
313,E:\data-version-control\data\raw\train\n03445777\n03445777_2078.JPEG,golf ball
314,E:\data-version-control\data\raw\train\n03445777\n03445777_2086.JPEG,golf ball
315,E:\data-version-control\data\raw\train\n03445777\n03445777_2088.JPEG,golf ball
316,E:\data-version-control\data\raw\train\n03445777\n03445777_2113.JPEG,golf ball
317,E:\data-version-control\data\raw\train\n03445777\n03445777_2123.JPEG,golf ball
318,E:\data-version-control\data\raw\train\n03445777\n03445777_2124.JPEG,golf ball
319,E:\data-version-control\data\raw\train\n03445777\n03445777_2129.JPEG,golf ball
320,E:\data-version-control\data\raw\train\n03445777\n03445777_2133.JPEG,golf ball
321,E:\data-version-control\data\raw\train\n03445777\n03445777_2137.JPEG,golf ball
322,E:\data-version-control\data\raw\train\n03445777\n03445777_2146.JPEG,golf ball
323,E:\data-version-control\data\raw\train\n03445777\n03445777_2157.JPEG,golf ball
324,E:\data-version-control\data\raw\train\n03445777\n03445777_2158.JPEG,golf ball
325,E:\data-version-control\data\raw\train\n03445777\n03445777_2177.JPEG,golf ball
326,E:\data-version-control\data\raw\train\n03445777\n03445777_2194.JPEG,golf ball
327,E:\data-version-control\data\raw\train\n03445777\n03445777_2207.JPEG,golf ball
328,E:\data-version-control\data\raw\train\n03445777\n03445777_2227.JPEG,golf ball
329,E:\data-version-control\data\raw\train\n03445777\n03445777_2244.JPEG,golf ball
330,E:\data-version-control\data\raw\train\n03445777\n03445777_2253.JPEG,golf ball
331,E:\data-version-control\data\raw\train\n03445777\n03445777_2269.JPEG,golf ball
332,E:\data-version-control\data\raw\train\n03445777\n03445777_2298.JPEG,golf ball
333,E:\data-version-control\data\raw\train\n03445777\n03445777_2314.JPEG,golf ball
334,E:\data-version-control\data\raw\train\n03445777\n03445777_2318.JPEG,golf ball
